INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 2700/150000, lr: 0.049487, eta: 4:19:14, time: 7.73, loss: 4.5542, loss_pre: 0.9122, loss_aux0: 0.9258, loss_aux1: 0.9207, loss_aux2: 0.9052, loss_aux3: 0.8903
INFO logger.py(47): iter: 2800/150000, lr: 0.049456, eta: 4:16:30, time: 7.64, loss: 4.3485, loss_pre: 0.8621, loss_aux0: 0.9084, loss_aux1: 0.8826, loss_aux2: 0.8604, loss_aux3: 0.8350
INFO logger.py(47): iter: 2900/150000, lr: 0.049426, eta: 4:13:57, time: 7.63, loss: 4.3428, loss_pre: 0.8641, loss_aux0: 0.8908, loss_aux1: 0.8912, loss_aux2: 0.8649, loss_aux3: 0.8318
INFO logger.py(47): iter: 3000/150000, lr: 0.049396, eta: 4:11:32, time: 7.61, loss: 4.3832, loss_pre: 0.8564, loss_aux0: 0.9181, loss_aux1: 0.8977, loss_aux2: 0.8664, loss_aux3: 0.8446
INFO logger.py(47): iter: 3100/150000, lr: 0.049366, eta: 4:09:18, time: 7.65, loss: 4.3930, loss_pre: 0.8894, loss_aux0: 0.9091, loss_aux1: 0.8905, loss_aux2: 0.8670, loss_aux3: 0.8370
INFO logger.py(47): iter: 3200/150000, lr: 0.049335, eta: 4:07:15, time: 7.73, loss: 4.4833, loss_pre: 0.8948, loss_aux0: 0.9179, loss_aux1: 0.9045, loss_aux2: 0.8929, loss_aux3: 0.8732
INFO logger.py(47): iter: 3300/150000, lr: 0.049305, eta: 4:05:16, time: 7.66, loss: 4.3866, loss_pre: 0.8650, loss_aux0: 0.9109, loss_aux1: 0.8999, loss_aux2: 0.8682, loss_aux3: 0.8427
INFO logger.py(47): iter: 3400/150000, lr: 0.049275, eta: 4:03:22, time: 7.63, loss: 4.3231, loss_pre: 0.8552, loss_aux0: 0.9039, loss_aux1: 0.8842, loss_aux2: 0.8579, loss_aux3: 0.8220
INFO logger.py(47): iter: 3500/150000, lr: 0.049245, eta: 4:01:41, time: 7.78, loss: 4.3412, loss_pre: 0.8559, loss_aux0: 0.9133, loss_aux1: 0.8844, loss_aux2: 0.8529, loss_aux3: 0.8347
INFO logger.py(47): iter: 3600/150000, lr: 0.049214, eta: 4:00:03, time: 7.73, loss: 4.4015, loss_pre: 0.8651, loss_aux0: 0.9208, loss_aux1: 0.9055, loss_aux2: 0.8773, loss_aux3: 0.8329
INFO logger.py(47): iter: 3700/150000, lr: 0.049184, eta: 3:58:37, time: 7.91, loss: 4.2933, loss_pre: 0.8482, loss_aux0: 0.8896, loss_aux1: 0.8734, loss_aux2: 0.8487, loss_aux3: 0.8333
INFO logger.py(47): iter: 3800/150000, lr: 0.049154, eta: 3:57:06, time: 7.65, loss: 4.4235, loss_pre: 0.8711, loss_aux0: 0.9245, loss_aux1: 0.8955, loss_aux2: 0.8768, loss_aux3: 0.8557
INFO logger.py(47): iter: 3900/150000, lr: 0.049124, eta: 3:55:35, time: 7.57, loss: 4.3614, loss_pre: 0.8533, loss_aux0: 0.9182, loss_aux1: 0.8944, loss_aux2: 0.8629, loss_aux3: 0.8327
INFO logger.py(47): iter: 4000/150000, lr: 0.049093, eta: 3:54:13, time: 7.69, loss: 4.4380, loss_pre: 0.8721, loss_aux0: 0.9172, loss_aux1: 0.9065, loss_aux2: 0.8857, loss_aux3: 0.8566
INFO logger.py(47): iter: 4100/150000, lr: 0.049063, eta: 3:52:54, time: 7.67, loss: 4.3620, loss_pre: 0.8646, loss_aux0: 0.9071, loss_aux1: 0.8841, loss_aux2: 0.8633, loss_aux3: 0.8429
INFO logger.py(47): iter: 4200/150000, lr: 0.049033, eta: 3:51:36, time: 7.60, loss: 4.2507, loss_pre: 0.8417, loss_aux0: 0.8963, loss_aux1: 0.8644, loss_aux2: 0.8377, loss_aux3: 0.8106
INFO logger.py(47): iter: 4300/150000, lr: 0.049003, eta: 3:50:28, time: 7.81, loss: 4.5697, loss_pre: 0.9021, loss_aux0: 0.9471, loss_aux1: 0.9354, loss_aux2: 0.9087, loss_aux3: 0.8764
INFO logger.py(47): iter: 4400/150000, lr: 0.048972, eta: 3:49:15, time: 7.57, loss: 4.2922, loss_pre: 0.8533, loss_aux0: 0.8913, loss_aux1: 0.8691, loss_aux2: 0.8497, loss_aux3: 0.8288
INFO logger.py(47): iter: 4500/150000, lr: 0.048942, eta: 3:48:06, time: 7.62, loss: 4.3671, loss_pre: 0.8626, loss_aux0: 0.9040, loss_aux1: 0.8950, loss_aux2: 0.8676, loss_aux3: 0.8380
INFO logger.py(47): iter: 4600/150000, lr: 0.048912, eta: 3:46:58, time: 7.54, loss: 4.1818, loss_pre: 0.8224, loss_aux0: 0.8868, loss_aux1: 0.8556, loss_aux2: 0.8184, loss_aux3: 0.7987
INFO logger.py(47): iter: 4700/150000, lr: 0.048881, eta: 3:45:54, time: 7.61, loss: 4.2699, loss_pre: 0.8423, loss_aux0: 0.8977, loss_aux1: 0.8665, loss_aux2: 0.8430, loss_aux3: 0.8204
INFO logger.py(47): iter: 4800/150000, lr: 0.048851, eta: 3:44:46, time: 7.39, loss: 4.3263, loss_pre: 0.8495, loss_aux0: 0.9045, loss_aux1: 0.8952, loss_aux2: 0.8444, loss_aux3: 0.8326
INFO logger.py(47): iter: 4900/150000, lr: 0.048821, eta: 3:43:47, time: 7.61, loss: 4.3589, loss_pre: 0.8544, loss_aux0: 0.9131, loss_aux1: 0.8908, loss_aux2: 0.8664, loss_aux3: 0.8342
INFO logger.py(47): iter: 5000/150000, lr: 0.048791, eta: 3:42:55, time: 7.77, loss: 4.3214, loss_pre: 0.8460, loss_aux0: 0.9183, loss_aux1: 0.8873, loss_aux2: 0.8489, loss_aux3: 0.8208
INFO logger.py(47): iter: 5100/150000, lr: 0.048760, eta: 3:42:04, time: 7.76, loss: 4.2041, loss_pre: 0.8223, loss_aux0: 0.8797, loss_aux1: 0.8571, loss_aux2: 0.8336, loss_aux3: 0.8113
INFO logger.py(47): iter: 5200/150000, lr: 0.048730, eta: 3:41:13, time: 7.70, loss: 4.2001, loss_pre: 0.8117, loss_aux0: 0.9003, loss_aux1: 0.8639, loss_aux2: 0.8243, loss_aux3: 0.8000
INFO logger.py(47): iter: 5300/150000, lr: 0.048700, eta: 3:40:21, time: 7.60, loss: 4.2197, loss_pre: 0.8213, loss_aux0: 0.8899, loss_aux1: 0.8731, loss_aux2: 0.8311, loss_aux3: 0.8043
INFO logger.py(47): iter: 5400/150000, lr: 0.048669, eta: 3:39:33, time: 7.70, loss: 4.3563, loss_pre: 0.8579, loss_aux0: 0.9064, loss_aux1: 0.8905, loss_aux2: 0.8695, loss_aux3: 0.8320
